Nombre,Razón social,Nombre de clase de la actividad,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Número exterior o kilómetro,Letra exterior,Edificio,Edificio Piso,Número interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado público",Número de local,Código Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,Clave localidad,Localidad,Área geoestadística básica ,Manzana,Número de teléfono,Correo electrónico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud
PLAZA CIVICA VENUSTIANO CARRANZA,ALCALDÍA VENUSTIANO CARRANZA,Centros de acondicionamiento físico del sector público,VIADUCTO,RIO DE LA PIEDAD,EJE VIAL,3 ORIENTE (FRANCISCO DEL PASO Y TRONCOSO),CALLE,MANZANA O EDIFICACION CONTIGUA,EJE VIAL,3 ORIENTE (FRANCISCO DEL PASO Y TRONCOSO),0,SN,EDIFICIO SIN NOMBRE,PLANTA BAJA,0,,COLONIA,JARDIN BALBUENA,,,,15850,,CIUDAD DE MÉXICO,,Venustiano Carranza,,Venustiano Carranza,,41,5586879400,,,Fijo,"19,40632249","-99,11261626"
CAM CASA DEL ADULTO MAYOR SANTA CRUZ XOCHITEPEC,ALCALDÍA XOCHIMILCO ,Clubes deportivos del sector público,CALLE,COMERCIO,AVENIDA,COMERCIO,AVENIDA,COMERCIO,CERRADA,ZAPOCO,0,SN,,,0,,PUEBLO,SANTA CRUZ XOCHITEPEC,,,,16100,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,30,,,,Fijo,"19,25393744","-99,13006031"
CANCHAS DE FUTBOL RÁPIDO ,ALCALDÍA XOCHIMILCO ,Centros de acondicionamiento físico del sector público,CALLE,AVENIDA CANAL NACIONAL CHALCO-AMECAMECA,CALLE,HERMENEGILDO GALEANA (NIÑOS HEROES),CALLE,NICOLAS BRAVO,AVENIDA,DIVISIÓN DEL NORTE,,SN,,,,,BARRIO,CALYEQUITA,,,,16750,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,22,,,,Fijo,"19,25487575","-99,01034747"
CENTRO DEPORTIVO XOCHIMILCO, ALCALDÍA XOCHIMILCO ,Centros de acondicionamiento físico del sector público,CALLE,FRANCISCO GOYTIA,CALLE,REDENCION,CALLE,NUEVA CARRETERA XOCHIMILCO-TULYEHUALCO (16 DE SEPTIEMBRE),CALLE,MAÍZ,0,SN,,,0,,BARRIO,SAN PEDRO,,,,16090,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,1,5556533335,,,Fijo,"19,25562993","-99,1062336"
DEPORTIVO EL ESCONDIDO,ALCALDÍA XOCHIMILCO ,Centros de acondicionamiento físico del sector público,CALLE,AHUEHUETE,CERRADA,NINGUNO,CERRADA,LAZARO CARDENAS,CERRADA,LÁZARO CÁRDENAS,,SN,,,,,PUEBLO,SAN LUIS TLAXIALTEMALCO,,,,16610,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,27,,,,Fijo,"19,25840912","-99,04051313"
DEPORTIVO POPULAR SANTA CRUZ XOCHITEPEC,ALCALDÍA XOCHIMILCO ,Centros de acondicionamiento físico del sector público,CALLE,CAMPO DEPORTIVO,AVENIDA,COMERCIO,AVENIDA,COMERCIO,CERRADA,ZAPOCO,0,SN,,,0,,PUEBLO,SANTA CRUZ XOCHITEPEC,,,,16100,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,30,,,,Fijo,"19,25403255","-99,13019573"
DEPORTIVO POPULAR DE SANTA MARIA TEPEPAN,ALCALDÍA XOCHIMILCO ,Clubes deportivos del sector público,CALLE,CUAUHTEMOC,CALLE,IGNACIO ALDAMA,CERRADA,PANTEON,CALLE,IGNACIO ALDAMA,,SN,,,,,COLONIA,SANTA MARIA TEPEPAN,,,,16020,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,22,,,,Fijo,"19,27523429","-99,1382572"
DEPORTIVO POPULAR SAN GREGORIO ATLAPULCO,ALCALDÍA XOCHIMILCO ,Centros de acondicionamiento físico del sector público,AVENIDA,NUEVO LEON,PRIVADA,NINGUNO,AVENIDA,CHAPULTEPEC,CALLE,MOYOTEPEC,,SN,,,,,PUEBLO,SANTA CRUZ ACALPIXCA,,,,16500,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,16,,,,Fijo,"19,2551622","-99,06687819"
DEPORTIVO SAN ANDRES,ALCALDÍA DE XOCHIMILCO ,Centros de acondicionamiento físico del sector público,CALLE,BENITO JUAREZ,CALLE,NICOLAS BRAVO,PRIVADA,ANDRES,CERRADA,PRIMERA FRESNO,,SN,,,,,PUEBLO,SAN ANDRES AHUAYUCAN,,,,16400,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,6,,,,Fijo,"19,22843762","-99,10753879"
DEPORTIVO TULYEHUALCO,ALCALDÍA XOCHIMILCO ,Centros de acondicionamiento físico del sector público,CALLE,FRANCISCO I. MADERO,CALLE,AMARANTO,CALLE,LAS ÁNIMAS,AVENIDA,AQUILES SERDÁN,0,SN,,,0,,COLONIA,LA LUPITA,,,,16740,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,1,,,,Fijo,"19,25604305","-99,02012097"
FRONTON DE TULYEHUALCO,,Centros de acondicionamiento físico del sector público,CALLE,AMARANTO,AVENIDA,AQUILES SERDAN,CALLE,FRANCISCO I. MADERO,CALLE,LAS ÁNIMAS,0,SN,,,0,,COLONIA,LA LUPITA,,,,16740,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,1,5526982159,,,Fijo,"19,25712971","-99,02129473"
GIMNASIO DE BASQUETBOL,ALCALDÍA XOCHIMILCO ,Centros de acondicionamiento físico del sector público,CALLE,FRANCISCO I. MADERO,CALLE,AMARANTO,CALLE,LAS ÁNIMAS,AVENIDA,AQUILES SERDÁN,23,,,,0,SN,COLONIA,LA GUADALUPITA TULYEHUALCO,,,,16740,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,1,,,,Fijo,"19,25639323","-99,02122315"
MODULO DEPORTIVO NUEVA TENOCHTITLAN,ALCALDÍA XOCHIMILCO ,Centros de acondicionamiento físico del sector público,CALLE,CHABACANO,CALLE,NINGUNO,CALLE,AHUEJOTE,CALLE,CIRUELO,,SN,,,,,PUEBLO,SANTA CRUZ ACALPIXCA,,,,16500,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,27,,,,Fijo,"19,25528259","-99,07332453"
PISTA OLIMPICA DE REMO Y CANOTAJE VIRGILIO URIBE,INDEPORTE,Centros de acondicionamiento físico del sector público,CALLE,ANTIGUO CANAL CUEMANCO,CALLE,SIN REFERENCIA,CALLE,NINGUNO,CALLE,ANTIGUO CANAL CUEMANCO,,SN,,,,,COLONIA,ANTIGUO CANAL DE CUEMANCO,,,,16034,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,1,,ADRIANAREYESBOTAS.INDEPORTE@GMAIL.COM,,Fijo,"19,28998421","-99,10183997"
ACADEMIA DE NATACIÓN MEXICA,,Parques acuáticos y balnearios del sector público,CALLE,CAMINO ANTIGUO A SAN ANDRES,CALLE,CAMINO REAL DE LOS OLIVOS,CALLE,CAMINO ANTIGUO A SAN ANDRES,PRIVADA,AMAPOLAS,52,,,,,,PUEBLO,SANTA INES,,,,16800,,CIUDAD DE MÉXICO,,Xochimilco,,Xochimilco,,1,,,,Fijo,"19,23036601","-99,11304143"
